customer_id,name,location_city,location_country,generation_date,batch_number
1,Acme Corp,New York,USA,08/05/2024,1
2,Bold Ventures,London,UK,08/05/2024,1
3,Clever Solutions,Tokyo,Japan,08/05/2024,1
4,Dynamic Innovations,Sydney,Australia,08/05/2024,1
5,Efficient Technologies,Toronto,Canada,08/05/2024,1
6,Forward Thinking Ltd,Berlin,Germany,08/05/2024,1
7,Global Enterprises,Paris,France,08/05/2024,1
8,Horizon Industries,Singapore,Singapore,08/05/2024,1
9,Innovative Designs,Madrid,Spain,08/05/2024,1
10,Just Solutions Group,Dubai,UAE,08/05/2024,1
11,Knowledge Networks,Rome,Italy,08/05/2024,1
12,Leading Edge Technologies,Seoul,South Korea,08/05/2024,1
13,MegaCorp,Los Angeles,USA,08/05/2024,1
14,NextGen Innovations,Shanghai,China,08/05/2024,1
15,Open Source Solutions,Amsterdam,Netherlands,08/05/2024,1
16,Pacific Technologies,Vancouver,Canada,08/05/2024,1
17,Quantum Innovations,Tel Aviv,Israel,08/05/2024,1
18,Reliable Systems,Stockholm,Sweden,08/05/2024,1
19,Stellar Enterprises,Moscow,Russia,08/05/2024,1
20,Tech Savvy Solutions,San Diego,USA,08/05/2024,1
21,United Global Networks,Sao Paulo,Brazil,08/05/2024,1
22,Vanguard Technologies,Dublin,Ireland,08/05/2024,1
23,Wise Innovations,Hong Kong,China,08/05/2024,1
24,Xenon Solutions,Bangalore,India,08/05/2024,1
25,Yotta Innovations,Nairobi,Kenya,08/05/2024,1
26,Zenith Technologies,Cape Town,South Africa,08/05/2024,1
27,Agile Solutions,Lisbon,Portugal,08/05/2024,1
28,Blue Sky Enterprises,Vienna,Austria,08/05/2024,1
29,Cloud Computing Ltd,Bucharest,Romania,08/05/2024,1
30,Crimson Dynamics,Copenhagen,Denmark,08/05/2024,1
31,Digital Frontiers,Helsinki,Finland,08/05/2024,1
32,Emerald Technologies,Prague,Czech Republic,08/05/2024,1
33,Fusion Innovations,Warsaw,Poland,08/05/2024,1
34,Galaxy Solutions,Oslo,Norway,08/05/2024,1
35,Horizon Systems,Budapest,Hungary,08/05/2024,1
36,Indigo Innovations,Athens,Greece,08/05/2024,1
37,Jade Technologies,Zurich,Switzerland,08/05/2024,1
38,Kinetic Systems,Dublin,Ireland,08/05/2024,1
39,Luminous Solutions,Stockholm,Sweden,08/05/2024,1
40,Matrix Enterprises,Madrid,Spain,08/05/2024,1
41,Neon Dynamics,Berlin,Germany,08/05/2024,1
42,Ocean Blue Technologies,Seattle,USA,08/05/2024,1
43,Pacific Solutions,Vancouver,Canada,08/05/2024,1
44,Quantum Leap Innovations,Tel Aviv,Israel,08/05/2024,1
45,Radiant Enterprises,London,UK,08/05/2024,1
46,Sapphire Solutions,Toronto,Canada,08/05/2024,1
47,Terra Nova Technologies,Sydney,Australia,08/05/2024,1
48,Universal Systems,Paris,France,08/05/2024,1
49,Vanguard Innovations,Mumbai,India,08/05/2024,1
50,Wavecrest Technologies,San Francisco,USA,08/05/2024,1
51,Xtreme Solutions,Berlin,Germany,08/05/2024,1
52,Yonder Innovations,Tokyo,Japan,08/05/2024,1
53,Zenith Global,New York,USA,08/05/2024,1
54,Azure Technologies,Dublin,Ireland,08/05/2024,1
55,Brilliant Minds,Stockholm,Sweden,08/05/2024,1
56,Catalyst Enterprises,London,UK,08/05/2024,1
57,Data Dynamics,Toronto,Canada,08/05/2024,1
58,Ethereal Solutions,Sydney,Australia,08/05/2024,1
59,Fractal Technologies,Paris,France,08/05/2024,1
60,Global Network,Mumbai,India,08/05/2024,1
61,Hyperlink Solutions,Berlin,Germany,08/05/2024,1
62,Infinite Innovations,Tokyo,Japan,08/05/2024,1
63,Jade Dynamics,New York,USA,08/05/2024,1
64,Kinetic Global,London,UK,08/05/2024,1
65,Luminous Systems,Sydney,Australia,08/05/2024,1
66,Matrix Solutions,Toronto,Canada,08/05/2024,1
67,Neon Technologies,Paris,France,08/05/2024,1
68,Ocean Blue Innovations,Mumbai,India,08/05/2024,1
69,Pacific Systems,Berlin,Germany,08/05/2024,1
70,Quantum Leap Enterprises,London,UK,08/05/2024,1
71,Radiant Global,Sydney,Australia,08/05/2024,1
72,Sapphire Dynamics,New York,USA,08/05/2024,1
73,Terra Nova Innovations,Tokyo,Japan,08/05/2024,1
74,Universal Solutions,Berlin,Germany,08/05/2024,1
75,Vanguard Technologies,London,UK,08/05/2024,1